# Time 	 GP Component 	 Full model (GP + Keplerian) 	 model1down 	 model1up 	 model2down 	 model2up 	 model3down 	 model3up
2458889.5890239999 	 0.0000000000 	 -16.4785460916 	 -19.4360043512 	 -13.0104003084 	 -22.2798854282 	 -8.6991343277 	 -23.9510664378 	 -4.9157427049
2458889.7942292052 	 0.0000000000 	 -20.6364126280 	 -22.6993649230 	 -18.4257103856 	 -24.9430945731 	 -15.5655387792 	 -26.5015085858 	 -12.6103797141
2458889.9994344101 	 0.0000000000 	 -22.2983101557 	 -24.1161809705 	 -20.4842349587 	 -26.2318090429 	 -18.4602446544 	 -27.6209443331 	 -16.9563652974
2458890.2046396155 	 0.0000000000 	 -21.5960741636 	 -23.6779510587 	 -19.3330854805 	 -25.8704296907 	 -16.8060529163 	 -27.4664637067 	 -15.0225630708
2458890.4098448209 	 0.0000000000 	 -18.5234134598 	 -21.1888993966 	 -15.7129698978 	 -23.7853403171 	 -12.6000298188 	 -25.5477457991 	 -10.6685909838
2458890.6150500257 	 0.0000000000 	 -13.5676380457 	 -16.5673816105 	 -10.4464677894 	 -19.7485328205 	 -7.0298099557 	 -22.1135661858 	 -4.9876670059
2458890.8202552311 	 0.0000000000 	 -7.2636949237 	 -10.4812460449 	 -3.9946070291 	 -13.9950498214 	 -0.4530156127 	 -16.5770486827 	 1.8057714391
2458891.0254604365 	 0.0000000000 	 -0.1826482083 	 -3.4499336192 	 3.1889153842 	 -7.0454569326 	 6.6218291044 	 -9.6695610010 	 9.2264770013
2458891.2306656414 	 0.0000000000 	 7.1066200551 	 3.8587608851 	 10.3977429804 	 0.2852042388 	 13.7205277226 	 -2.3049856226 	 16.1871687071
2458891.4358708467 	 0.0000000000 	 13.8779125526 	 10.7404344820 	 17.0237229850 	 7.3357045614 	 20.2572393694 	 4.9415341939 	 22.3440292887
2458891.6410760521 	 0.0000000000 	 19.3475057765 	 16.5018436125 	 22.1344304525 	 13.3300840445 	 25.1256872966 	 11.1146778929 	 27.1732153183
2458891.8462812570 	 0.0000000000 	 22.7264041360 	 20.3577547195 	 25.0745537644 	 17.6944080566 	 27.7967699380 	 15.6889470438 	 29.6519565248
2458892.0514864624 	 0.0000000000 	 23.3163625017 	 21.3112953749 	 25.4198491848 	 19.1612633046 	 27.7612648620 	 17.6639711006 	 29.4544747053
2458892.2566916677 	 0.0000000000 	 21.0544227813 	 18.5239451529 	 23.2834734586 	 15.2901755365 	 25.6800239852 	 12.9158240262 	 27.3099511530
2458892.4618968726 	 0.0000000000 	 15.8109202622 	 12.0381566845 	 19.0120065877 	 7.5327503882 	 21.9710863374 	 4.1255615934 	 24.0122158467
2458892.6671020780 	 0.0000000000 	 8.2100135963 	 3.4829306674 	 12.5422458364 	 -1.7137973504 	 16.6817812159 	 -4.9594637978 	 19.1608756783
2458892.8723072829 	 0.0000000000 	 -0.5410423977 	 -5.4348740263 	 4.3465358485 	 -10.1987856491 	 9.4740044600 	 -13.1428004518 	 12.6849026039
2458893.0775124882 	 0.0000000000 	 -8.9529194180 	 -13.2048264028 	 -4.3494552021 	 -16.9336886573 	 0.8805107948 	 -19.4186676499 	 4.5810330463
2458893.2827176936 	 0.0000000000 	 -15.8089971007 	 -18.8957545486 	 -12.2175980397 	 -21.8222188014 	 -7.8067313545 	 -23.5442738223 	 -4.1098786817
2458893.4879228985 	 0.0000000000 	 -20.2807752626 	 -22.4131206776 	 -17.9639385530 	 -24.7099175848 	 -14.9625118118 	 -26.2699653227 	 -11.8342750557
2458893.6931281039 	 0.0000000000 	 -22.2235721015 	 -24.0436167374 	 -20.4349995436 	 -26.1933745765 	 -18.4255509159 	 -27.5402319263 	 -16.8971143135
2458893.8983333092 	 0.0000000000 	 -21.7995401686 	 -23.8204094937 	 -19.6035037104 	 -26.0029355684 	 -17.2074306440 	 -27.6371772664 	 -15.4362825888
2458894.1035385141 	 0.0000000000 	 -19.0008329319 	 -21.5875333764 	 -16.2580827105 	 -24.1114981147 	 -13.2011709140 	 -25.8610481153 	 -11.2780686221
2458894.3087437195 	 0.0000000000 	 -14.2351508501 	 -17.1775820171 	 -11.1388805423 	 -20.2794354837 	 -7.7969084608 	 -22.5583009296 	 -5.7081173563
2458894.5139489248 	 0.0000000000 	 -8.0553075192 	 -11.2377120158 	 -4.8113285311 	 -14.6946751034 	 -1.3074151893 	 -17.2758067667 	 0.9685243360
2458894.7191541297 	 0.0000000000 	 -1.0357122518 	 -4.2859926501 	 2.3066167708 	 -7.8382009651 	 5.7163793769 	 -10.4474779759 	 8.3154163055
2458894.9243593351 	 0.0000000000 	 6.2749952370 	 3.0243382478 	 9.5581820991 	 -0.5071973109 	 12.8637547369 	 -3.1188307526 	 15.4031719615
